Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),day
1277,"300 Hayes Street, Civic Center, San Francisco",9,"500 Hyde Street, Tenderloin, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",322,211,489,1
1277,"300 Hayes Street, Civic Center, San Francisco",20,"900 Sutter Street, Lower Nob Hill, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",291,179,470,1
1277,"300 Hayes Street, Civic Center, San Francisco",21,"3400 Pierce Street, Marina District, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",635,438,920,1
1277,"300 Hayes Street, Civic Center, San Francisco",44,"1700 Egbert Avenue, Bayview, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",786,566,1090,1
1277,"300 Hayes Street, Civic Center, San Francisco",46,"500 Chester Street, West Oakland, Oakland","3/1/2020 - 3/1/2020, Every day, Daily Average",891,682,1162,1
1277,"300 Hayes Street, Civic Center, San Francisco",58,"5600 Genoa Street, Santa Fe, Oakland","3/1/2020 - 3/1/2020, Every day, Daily Average",1105,842,1448,1
1277,"300 Hayes Street, Civic Center, San Francisco",60,"33900 Emilia Lane, Ardenwood, Fremont","3/1/2020 - 3/1/2020, Every day, Daily Average",2459,1988,3040,1
1277,"300 Hayes Street, Civic Center, San Francisco",78,"1400 Thomas Avenue, Bayview, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",789,640,971,1
1277,"300 Hayes Street, Civic Center, San Francisco",79,"1500 California Street, Polk Gulch, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",339,213,537,1
1277,"300 Hayes Street, Civic Center, San Francisco",80,"0 Farren Street, Western Addition, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",324,238,439,1
1277,"300 Hayes Street, Civic Center, San Francisco",81,"0 Berkeley Way, Diamond Heights, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",894,673,1186,1
1277,"300 Hayes Street, Civic Center, San Francisco",82,"2700 25th Street, Mission District, San Francisco","3/1/2020 - 3/1/2020, Every day, Daily Average",374,259,539,1
1277,"300 Hayes Street, Civic Center, San Francisco",87,"2200 Wyandotte Street, Mountain View","3/1/2020 - 3/1/2020, Every day, Daily Average",2227,1971,2515,1
1277,"300 Hayes Street, Civic Center, San Francisco",90,"300 Heathcliff Drive, Westview, Pacifica","3/1/2020 - 3/1/2020, Every day, Daily Average",1262,1004,1585,1
1277,"300 Hayes Street, Civic Center, San Francisco",91,"700 Industrial Road, San Carlos","3/1/2020 - 3/1/2020, Every day, Daily Average",1586,1341,1875,1
1277,"300 Hayes Street, Civic Center, San Francisco",96,"2200 Bonar Street, Poets Corner, Berkeley","3/1/2020 - 3/1/2020, Every day, Daily Average",1271,1000,1614,1
1277,"300 Hayes Street, Civic Center, San Francisco",98,"500 10th Street, Downtown Oakland, Oakland","3/1/2020 - 3/1/2020, Every day, Daily Average",999,732,1361,1
